Purple Frog
Gunung Jerai Black Stream-Frog
Ivory Coast Wart Frog
African Wart Frog
Northern Cricket Frog
Southern Cricket Frog
Neblina Frog
Yapima Shield Frog
Guiana Shield Frog
Tusked Frog
Rã-da-castanha
Amazonian Poison-arrow Frog
Lowland Tropical Bullfrog
Napo Tropical Bullfrog
Lutz's Tropical Bullfrog
Marbled Tropical Bullfrog
Kelaart's Toad
Afghanistan Mountain Salamander
Golden Banana Frog
Lesser Banana Frog
Clarke's Banana Frog
Delicate Leaf-folding Frog
Cameroon Banana Frog
Ethiopian Banana Frog
Congo Banana Frog
Greater Leaf-folding Frog
Banded Banana Frog
Knysna Banana Frog
Nigeria Banana Frog
Kivu Banana Frog
Osorio's Spiny Reed Frog
Schneider's Banana Frog
Natal Leaf-folding Frog
Uluguru Banana Frog
Nimba Banana Frog
Spiny Reed Frog
Weidholz's Banana Frog
Orange-eyed Tree Frog
Red-eyed Treefrog
Mexican Leaf Frog
Antioquia Leaf Frog
Rana Mono Amazónica
Lemur Leaf Frog
Rancho Grande Leaf Frog
Black-eyed Leaf Frog
Misfit Leaf Frog
Gliding Leaf Frog
Madagascar Jumping Frog
Balu Eastern Frog
Palawan Eastern Frog
King Dwarf Mountain Frog
Saribau Eastern Frog
Tasan Eastern Frog
Rocket Frog
Spotted Nurse Frog
Coastal Rocket Frog
Sapito Ninera Del Brasil
Caribbean Nurse Frog
Ravine Rocket Frog
Manu Rocket Frog
Epipedobate Fémoral
Mera Rocket Frog
Black-flanked Poison Frog
Sapito Niñera Humilde
Nurse Frog of the Serranía de Perijá
Mount Turumiquire Rocket Frog
Dull Rocket Frog
Myers' Poison Frog
Rio Rocket Frog
Pittier’s little frog
Llanos Rocket Frog
San Martin Rocket Frog
Talamanca Rocket Frog
Three-striped Rocket Frog
Sanguine Poison-arrow Frog
Hazara Torrent Frog
Tukeit Hill Frog
Cabreria Spiny-chest Frog
Cantillana Spiny-chest Frog
Tonchek Spiny-chest Frog
Mountain Spiny-chest Frog
Island Spiny-chest Frog
Popeye spiny-chest frog
Pehuenche Spiny-chest Frog
La Parva Spiny-chest Frog
Vanzolini's Spiny-chest Frog
Olive Spiny-chest Frog
Malleco Spiny-chest Frog
Ethiopian Mountain Toad
Osgood's Ethiopian Toad
Iberian Midwife Toad
Betic Midwife Toad
Moroccan Midwife Toad
Majorcan Midwife Toad
Common Midwife Toad
Mountain Stream Siredon
Blunt-headed Salamander
Anderson's Salamander
Ringed Salamander
Streamside Salamander
Reticulated Flatwoods Salamander
California Tiger Salamander
Frosted Flatwoods Salamander
Lake Patzcuaro Salamander
Yellow-peppered Salamander
Northwestern Salamander
Granular Salamander
Jefferson Salamander
Blue-spotted Salamander
Leora's Stream Salamander
Lake Lerma Salamander
Mabee's Salamander
Long-toed Salamander
Spotted Salamander
Western Tiger Salamander
Axolotl
Marbled Salamander
Michoacan Stream Salamander
Tarahumara Salamander
Pine Woods Salamander
Mole Salamander
Taylor's Salamander
Smallmouth Salamander
Eastern Tiger Salamander
Plateau Tiger Salamander
Pleasing Poison Frog
Ecuador Poison Frog
Boehmei's Poison Arrow Frog
Bolivian Poison-Arrow Frog
Cainarachi Poison Frog
Yellow-Painted Poison-Arrow Frog
Brother Niceforo's Poison-arrow Frog
Manu Poison Frog
Rana Venenosa
Peru Poison Frog
Spot-legged Poison-arrow Frog
Oxapampa Poison Frog
Silverstone's Poison Frog
Emerald Poison-arrow Frog
Three-striped Arrow-poison Frog
Angola Frog
Chapin's River Frog
Delalande's River Frog
De Saeger's River Frog
Sani Pass Frog
Dark-throated Frog
Phofung River Frog
Nyanga River Frog
Mulanje River Frog
Moyer's River Frog
Nutt's River Frog
Poynton's River Frog
Ruwenzori River Frog
Amani River Frog
Van Dijk's River Frog
Maluti River Frog
Molo Frog
Ilanga Frog
Nkongsamba Frog
Bamileke Plateau Frog
Ivory Coast Frog
Parker's White-lipped Frog
Akha Torrent Frog
White-spined Cascade Frog
Aniqiao Torrent Frog
Doi Inthanon Rock Frog
Assamese Cascade Frog
Pianma Torrent Frog
夜空湍蛙
Dehradun Stream Frog
察隅湍蛙
Chungan Sucker Frog
戴云湍蛙
Bagalee Paha
Small-eared Torrent Frog
Sichuan Sucker Frog
海南湍蛙
香港湍蛙
Iridescent Torrent Frog
Jaunsar Stream Frog
金江湍蛙
Kaulback's Torrent Frog
Larut Sucker Frog
理县湍蛙
Rufous-spotted Torrent Frog
Kambaiti Sucker Frog
Sichuan Torrent Frog
Man Paha (nepali)
Medog Torrent Frog
Mountain Stream Frog
Nyingchi Cascade Frog
华南湍蛙
Shuicheng Torrent Frog
小湍蛙
平疣湍蛙
Dahaoping Sucker Frog
Vitreous Cascade Frog
文山湍蛙
Sanchiang Sucker Frog
新都桥湍蛙
云开湍蛙
Two-toed Amphiuma
One-toed Amphiuma
Three-toed Congo Snake
American Toad
Boreal Toad
Mexican Arroyo Toad
Yosemite Toad
Great Plains Toad
Plateau Toad
Green Toad
Deep Springs Toad
Fowler's Toad
Canadian Toad
Houston Toad
Little Mexican Toad
Mexican Spadefoot Toad
Arizona Toad
Amargosa Toad
Baird's Spotted Toad
Oak Toad
Sonoran Green Toad
Texas Toad
Southern Toad
Woodhouse's Toad
Volcán Reventador Poison Frog
Golden Poison-arrow Frog
Cauca Poison Frog
Yellow-bellied Poison Frog
Geminis' Dart Frog
Bluebelly Poison Frog
Andean Poison Frog
Green Poison Frog
Santander Poison Frog
Chinese Giant Salamander
Japanese Giant Salamander
Green Salamander
Clouded Salamander
Black Salamander
Sacramento Mountains Salamander
Sad-colored Anaides
Wandering Salamander
Hewitt’s Moss Frog
Mistbelt Chirping Frog
Rattray's Forest Frog
Boulenger's Climbing Frog
Mountain Climbing Frog
Black-throated Climbing Frog
Madagascar Climbing Frog
Sapito Niñera de Ayarzagüena
Beebe's Rocket Frog
Degranville's Rocket Frog
Sapito Niñera de Guanay
Kaie Rock Frog
Leopard Rocket Frog
Sarisariñama Rocket Frog
Murisipan rocket frog
Parima Rocket Frog
Sapito Niñera de Parker
Sapito Niñera De Praderio
Sapito Ninera Del Roraima
Sira Poison Frog
Sapito Niñera de Shreve
Stephen's Rocket Frog
Suriname Rocket Frog
Sapito Niñera del Tamacuari
