Twin-striped Skink
Budak Kertenkelesi
Chernov's Snake-Eyed Skink
Desert Lidless Skink
Minor Snake-eyed Skink
Snake-eyed Skink
Lindberg’s Snake-Eyed Skink
Asian Snake-eyed Skink
Anzuetoi Arboreal Alligator Lizard
Cope's Arboreal Alligator Lizard
Bogert's Arboreal Alligator Lizard
Campbell's Alligator Lizard
Chiszar's Arboreal Alligator Lizard
Frost’s Arboreal Alligator Lizard
Mount Zempoaltepec Alligator Lizard
Brilliant Arboreal Alligator Lizard
Terrestrial Arboreal Alligator Lizard
Smoothback Arboreal Alligator Lizard
Red-lipped Arboreal Alligator Lizard
Matuda's Arboreal Alligator Lizard
Mitchell's Arboreal Alligator Lizard
Mixtecan Arboreal Alligator Lizard
Montecristo Arboreal Alligator Lizard
Oaxaca Arboreal Alligator Lizard
Northern Chiapas Arboreal Alligator Lizard
Cerro Baul Alligator Lizard
Ramirez's Alligator Lizard
Reid's Arboreal Alligator Lizard
Salvador Arboreal Alligator Lizard
Smith's Arboreal Alligator Lizard
Bromeliad Arboreal Alligator Lizard
Anderson's Rock Agama
Eritrean Ridgeback Agama
Southern Tree Agama
Black-necked Tree Agama
Peter’s Ridgeback Agama
Philipps’ Ridgeback Agama
Uganda Blue-headed Tree Agama
Big-Headed Pantanal Swamp Turtle
Arabian Fringe-fingered Lizard
Golden Fringe-fingered Lizard
Bedriaga's Fringe-fingered Lizard
Be’er Sheva Fringe-fingered Lizard
Blanc's Fringe-toed Lizard
Blanford's Fringe-fingered Lizard
Bosk's Fringe-toed Lizard
Chabanaud's Fringe-fingered Lizard
Busack's Fringe-fingered Lizard
Indian Fringe-fingered Lizard
Duméril's Fringe-fingered Lizard
Spiny-footed Lizard
Saudi Fringe-fingered Lizard
Giant Fringe-toed Lizard
Guinea Fringe-fingered Lizard
Haas' Fringe-toed Lizard
Harran Kertenkelesi
Long Fringe-fingered Lizard
Spotted Fringe-fingered Lizard
Fringe-fingered Lizard
Nilson's Spiny-toed Lizard
Snake-tailed Fringe-toed Lizard
Leopard Fringe-fingered Lizard
Robust Fringe-fingered Lizard
Savigny's Fringe-fingered Lizard
Schmidt's Fringe-toed Lizard
Schreiber's Fringe-fingered Lizard
Nidua Fringe-fingered Lizard
Doumergue's Fringe-fingered Lizard
Lebanon Fringe-fingered Lizard
Yemen Fringe-fingered Lizard
Southern Death Adder
Kimberley Death Adder
Barkly Tableland Death Adder
Northern Death Adder
Desert Death Adder
Papuan Death Adder
Pilbara Death Adder
Armored Pricklenape
Bukit Larut Mountain Horned Agamid
Green Pricklenape
Masked Horned Tree Lizard
Scale-bellied Tree Lizard
Phuket Horned Tree Agamid
Titiwangsa Horned Tree Lizard
Bourret's Odd-scaled Snake
Formosa Odd-scaled Snake
Hainan burrowing snake
Zong's Odd-scaled Snake
Sichuan Odd-scaled Snake
Black Odd-scaled Snake
Rufous burrowing snake
Grey Burrowing Snake
Amami Takachiho Snake
White-throated Legless Skink
Golden Blind Legless Skink
Shorthead Lance Skink
Cregoi's Legless Skink
FitzSimons' Legless Skink
Mier Kalahari Legless Skink
Slendertail Lance Skink
Gray's Dwarf Legless Skink
Striped Blind Legless Skink
Striped Dwarf Legless Skink
Algoa Legless Skink
Coastal Dwarf Legless Skink
Cape Legless Skink
Namaqua Legless Skink
Western Legless Skink
Eastern Cape Legless Skink
Percival's Legless Skink
Giant Legless Skink
Richard's Blind Legless Skink
Woodbush Legless Skink
Namaqua Dwarf Legless Skink
Wakkerstroom Legless Skink
Madagascar Ground Boa
Malagasy Ground Boa
Amaral's Colobosaura
Spiny Colobosaura
Three-lined Skink
Red-throated Skink
South-western Cool Skink
Filesnake
Wart Snake
Elephant Trunk Snake
Red Blind Snake
Kunua Blind Snake
Bismarck Sharp-Nosed Blind Snake
Dary's Burrowing Snake
Oaxacan Burrowing Snake
Burrowing Snake
Middle American Burrowing Snake
Stuart's Burrowing Snake
Green-bellied Forest Lizard
Alpine Meadow Lizard
Jackson’s Forest Lizard
Cat Gecko
African Rock Gecko
Amatola Flat Gecko
Bogert's Rock Gecko
Broadley’s Flat Gecko
Mount Gorongosa Flat Gecko
Granite Flat Gecko
Haacke's Flat Gecko
Hall's Flat Gecko
Cape Rock Gecko
Karoo Flat Gecko
Lowveld Flat Gecko
Leolo Flat Gecko
Loveridge’s Rock Gecko
Swazi Flat Gecko
Maripi Rock Gecko
Marley's Flat Gecko
Woodbush Flat Gecko
Namaqua Flat Gecko
Mountain Flat Gecko
Pienaar’s Rock Gecko
Pondo Rock Gecko
Pongola Flat Gecko
Rondavels Rock Gecko
Abel Erasmus Flat Gecko
Tembu Flat Gecko
Transvaal Flat Gecko
Waterberg Rock Gecko
Marbled African Leaf-toed Gecko
African Brown Water Snake
Angolan Blind Snake
Anomalous Beaked Snake
Bibron's Blind Snake
Blanford’s Blind-snake
Somali Giant Blind-snake
Calabresi’s Blind-snake
Blotched Blind Snake
Wedgenose Worm Snake
Elegant Worm Snake
Fornasini's Dwarf Blind Snake
Gierra's Blind Snake
Common Lined Worm Snake
Zambezi Blind Snake
Southern Gracile Blind-snake
Spotted Blind Snake
Rondo Worm Snake
Schlegel's Giant Blind Snake
Schmidt’s Blind-snake
Steinhaus' Worm Snake
Usambara Blind-snake
Common Ground Agama
Rainbow Lizard
Anchieta's Agama
Peters' Ground Agama
