The Animal, Ellen van Dijk
Afro-Bob, Robert de Wilde
Amtrak, Charles Townsend
Big Chuck, Charles Townsend
Black Magic, Charles Townsend
Breakaway killer, Ji Cheng
Bubba, Burlin Harris III
The Cannibal, Eddy Merckx
Chasemainian Devil, Charles Townsend
Choo-Choo Charlie, Charles Townsend
Crazy Eric, Eric Steele
Dirt, Brian Foster
The Earthquake, Eric Carter
Farmer John, John Tomac
The Fleein Korean, Charles Townsend
The Flying Dutchman, Robert de Wilde
The Golden Child, Eric Carter
The Green Hornet, David Zabriskie
Jack, John Prince
Jake the Snake, Jacob Heilbron
Johnny T, John Tomac
King of Skateparks, Eddie Fiola
Leopard Head, Sam Pilgrim
Mellow Johnny, Lance Armstrong
No Way Rey, Hans Rey
The Real McHoy, Chris Hoy
Scrawny, Donald Robinson
Sheffield Steel, Steve Peat
The Snake, Mike King
Speeding Locomotive Charlie, Charles Townsend
Steam Engine Charlie, Charles Townsend
Stumpdog, Randy Stumpfhauser
Stumpy, Randy Stumpfhauser
T.I., Takashi Ito
Tomac Attack, John Tomac
The Tome, John Tomac
Torchy, William Peden
